SampleId_1404,Region_1404,Group_1404,OriginalSampleName_1404,SampleId_1394,Region_1394,Group_1394,OriginalSampleName_1394,Distance,SameRegion
30,خراسان رضوی,G6,04-1,24,خراسان رضوی,G6,94-21,1546.4096543928056,True
30,خراسان رضوی,G6,04-1,25,خراسان رضوی,G6,94-22,998.7045277447479,True
30,خراسان رضوی,G6,04-1,26,خراسان رضوی,G6,94-25,1330.5328133676812,True
30,خراسان رضوی,G6,04-1,27,خراسان رضوی,G6,94-26,866.6425473467416,True
30,خراسان رضوی,G6,04-1,28,خراسان رضوی,G6,94-27,1915.0589960964064,True
30,خراسان رضوی,G6,04-1,29,خراسان رضوی,G6,94-28,1204.961971093081,True
30,خراسان رضوی,G6,04-1,34,فارس,G7,94-30,1621.740296415263,False
30,خراسان رضوی,G6,04-1,36,فارس,G7,94-32,1489.223276017372,False
30,خراسان رضوی,G6,04-1,37,قم,G8,94-33,879.4578028478311,False
30,خراسان رضوی,G6,04-1,39,یزد,G9,94-35,1433.64718789548,False
30,خراسان رضوی,G6,04-1,40,یزد,G9,94-36,1046.0478914844487,False
31,خراسان رضوی,G6,04-11,1,سمنان,G1,94-1,1780.7751605007818,False
31,خراسان رضوی,G6,04-11,2,سمنان,G1,94-2,1650.3866928729785,False
31,خراسان رضوی,G6,04-11,4,اصفهان,G2,94-5,1453.9007827634523,False
31,خراسان رضوی,G6,04-11,9,زنجان,G3,94-7,1463.578155652656,False
31,خراسان رضوی,G6,04-11,10,زنجان,G3,94-8,1243.851807290122,False
31,خراسان رضوی,G6,04-11,13,اراک,G4,94-9,1277.832169707831,False
31,خراسان رضوی,G6,04-11,20,خراسان شمالی,G5,94-13,2698.0301313363393,False
31,خراسان رضوی,G6,04-11,24,خراسان رضوی,G6,94-21,1636.7668643309687,True
31,خراسان رضوی,G6,04-11,25,خراسان رضوی,G6,94-22,1403.6349197089326,True
31,خراسان رضوی,G6,04-11,26,خراسان رضوی,G6,94-25,1313.6886436991736,True
31,خراسان رضوی,G6,04-11,27,خراسان رضوی,G6,94-26,1544.785391035022,True
31,خراسان رضوی,G6,04-11,28,خراسان رضوی,G6,94-27,1559.6844179681482,True
31,خراسان رضوی,G6,04-11,29,خراسان رضوی,G6,94-28,1725.0306078073572,True
31,خراسان رضوی,G6,04-11,34,فارس,G7,94-30,1463.1275633627363,False
31,خراسان رضوی,G6,04-11,36,فارس,G7,94-32,1982.985661366402,False
31,خراسان رضوی,G6,04-11,37,قم,G8,94-33,1532.546221821131,False
31,خراسان رضوی,G6,04-11,39,یزد,G9,94-35,1401.66952256714,False
