SampleId,ActualClass,Year,Normalization,Modality,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
5,G2,1404,Raw,308 nm,-319135.5024975434,-27672.012808340605,33861.79110744038,-25844.87112377188,-15260.792858783268,-12.512319352813742,-9120.681362260904,-7822.085567195374,-4975.5972069282925,-4419.722322587948
6,G2,1404,Raw,308 nm,-319135.5176996389,-27671.953564121806,33861.81422144286,-25844.81816046396,-15260.723614778612,-12.538763156871847,-9120.787807499213,-7822.086995505651,-4975.611635706406,-4419.750060022514
7,G2,1404,Raw,308 nm,-319135.37754870055,-27671.95331084344,33861.781464054875,-25844.817131186024,-15260.684373455004,-12.478171969209704,-9120.737478681993,-7822.094802464263,-4975.662956118051,-4419.736071637049
8,G2,1404,Raw,308 nm,-319135.6211686354,-27672.0312995995,33861.9167544659,-25844.83106655718,-15260.755023806667,-12.539767115725509,-9120.690020451277,-7822.054786632002,-4975.561121111225,-4419.849244722059
9,G3,1394,Raw,308 nm,717538.3461580003,573385.3901075256,283976.65399460966,-188152.07914168047,494538.20949041744,306858.409047229,-6837.594001655114,-50898.15098178907,38939.911763280164,-208049.78168391794
10,G3,1394,Raw,308 nm,743697.2643433288,219077.7959937401,308799.8761876187,-116201.08184983066,128707.5130472583,71630.93832789268,-61379.92461986117,104941.62525841901,-691.2374195653668,87666.34441725895
11,G3,1404,Raw,308 nm,-319135.6458047538,-27672.078000872585,33861.820064589316,-25844.825978113986,-15260.799439739902,-12.502425275413152,-9120.66754666725,-7822.118379364504,-4975.6363676460605,-4419.741901377997
12,G3,1404,Raw,308 nm,-319135.6385946645,-27671.950130695128,33861.84936847347,-25844.764883038293,-15260.655879751706,-12.564923723808427,-9120.882588441245,-7822.126276742742,-4975.575848124552,-4419.738721695173
13,G4,1394,Raw,308 nm,1252547.65090178,-180833.57236742048,178402.3403359997,-139651.21080389628,-342784.5422644323,-59482.47643318192,-430718.9356891875,69340.81292421647,-153888.16361411734,4915.852799715919
14,G4,1404,Raw,308 nm,-319135.57895419863,-27672.11691037273,33861.82670016164,-25844.837511543345,-15260.849234455469,-12.554790667262546,-9120.611840159256,-7822.091429536836,-4975.572191061841,-4419.738862859136
15,G4,1404,Raw,308 nm,-319135.55391430977,-27672.089136057835,33861.77568790361,-25844.855719248088,-15260.858370584081,-12.521803431678055,-9120.622235510662,-7822.099941565079,-4975.5903237203975,-4419.709734631319
