ppm,PC1_loading
6.27096,-0.0199719855841361
6.27196,-0.019851410620422907
6.27296,-0.01981345055549085
6.27396,-0.019825572290155927
6.27496,-0.01963648400681147
6.27596,-0.01937989825398617
6.27696,-0.019155507437647077
6.27796,-0.0189328113069675
6.27896,-0.018698438610047073
6.27996,-0.018414981965484616
6.28096,-0.018076148467753274
6.28196,-0.017640693455484302
6.28296,-0.017311756001493664
6.28396,-0.016795091209190746
6.28495,-0.016183561228092155
6.28595,-0.015354748768645935
6.28695,-0.01437807394317789
6.28795,-0.013752518140087292
6.28895,-0.01299316482006877
6.28995,-0.01191455282880884
6.29095,-0.010956136651429086
6.29195,-0.010078349909948076
6.29295,-0.00929296211553207
6.29395,-0.008572612866909279
6.29495,-0.007844987406443803
6.29595,-0.007078561484949435
6.29695,-0.006456181514330755
6.29795,-0.005890431272710318
6.29895,-0.005377219341244728
6.29995,-0.004956779636997946
6.30095,-0.004576783250278323
6.30195,-0.00431227508891382
6.30295,-0.00413150373041783
6.30395,-0.004021391367181503
6.30495,-0.0038814189164320715
6.30595,-0.0038504146680374707
6.30695,-0.003903099152493778
6.30795,-0.0038923163754426165
6.30895,-0.0038598440000239226
6.30995,-0.0038333923624340083
6.31095,-0.0037345263374994396
6.31195,-0.0037010292938639442
6.31295,-0.0034287689774706778
6.31395,-0.003254603524047212
6.31495,-0.0031018293632338254
6.31595,-0.0028487073529042716
6.31695,-0.002637238603886921
6.31795,-0.002385143625844787
6.31895,-0.0021904079666033075
6.31995,-0.0019129643571526576
6.32095,-0.0016376930303718426
6.32195,-0.0014021624880711315
6.32295,-0.0012867817435993868
6.32395,-0.0011889093871359031
6.32495,-0.0010541431735787328
6.32595,-0.0009297929852684332
6.32695,-0.0009652976726946903
6.32795,-0.0009464288528804998
6.32895,-0.0009785283095982151
6.32995,-0.0011161439977396294
6.33095,-0.0012026662424301368
6.33195,-0.0012917503066950334
6.33295,-0.0014311741439384906
6.33395,-0.001519850238029339
6.33495,-0.0016636200680551086
6.33595,-0.001954363398558337
6.33695,-0.0021108320009287905
6.33795,-0.0022571680600687073
6.33895,-0.0024033990125755258
6.33995,-0.0026218731357316345
6.34095,-0.002692031625833038
6.34195,-0.002644260475952655
6.34295,-0.0026175318266895577
6.34395,-0.00266554466929488
6.34495,-0.0026194550532804553
6.34595,-0.002621062948848751
6.34695,-0.0026843410546566766
6.34795,-0.002564814790978382
6.34895,-0.002502828138327494
6.34995,-0.0025017739614930775
6.35095,-0.0024170855369519332
6.35195,-0.0024401722830343447
6.35295,-0.002527751263905401
6.35395,-0.0027205140405165773
6.35495,-0.002889531412786839
6.35595,-0.003012281164203629
6.35695,-0.00333433538903881
6.35795,-0.003735554168029017
6.35895,-0.004208115023040691
6.35995,-0.004678092852757289
6.36095,-0.0052940637198738245
6.36195,-0.006007096597802307
6.36295,-0.006438609631162677
6.36395,-0.0067931941056108254
6.36495,-0.007646685393835186
6.36595,-0.008351543592250711
6.36695,-0.008972547548723092
6.36795,-0.009571628240953041
6.36895,-0.010247712023287166
